المواطنة,المؤشر,الدولة,الجنس,Year,Value,Source,المرحلة التعليمية,القطاع
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2015,,,جامعي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2015,,,جامعي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2015,,,جامعي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2015,,,جامعي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2015,,,جامعي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2015,,,جامعي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2015,,,جامعي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2015,,,جامعي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2015,,,جامعي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2015,,,جميع المراحل التعليمية,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2015,,,جميع المراحل التعليمية,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2015,,,جميع المراحل التعليمية,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2015,,,جميع المراحل التعليمية,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2015,,,جميع المراحل التعليمية,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2015,,,جميع المراحل التعليمية,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2015,,,جميع المراحل التعليمية,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2015,,,جميع المراحل التعليمية,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2015,,,جميع المراحل التعليمية,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,إبتدائي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,إبتدائي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,إبتدائي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,إبتدائي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,إبتدائي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,إبتدائي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,إبتدائي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,إبتدائي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,إبتدائي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,إعدادي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,إعدادي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,إعدادي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,إعدادي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,إعدادي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,إعدادي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,إعدادي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,إعدادي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,إعدادي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,ثانوي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,ثانوي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,ثانوي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,ثانوي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,ثانوي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,ثانوي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,ثانوي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,ثانوي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,ثانوي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,جامعي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,جامعي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,جامعي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,جامعي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,جامعي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,جامعي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,جامعي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,جامعي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,جامعي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,جميع المراحل التعليمية,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,جميع المراحل التعليمية,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,جميع المراحل التعليمية,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,جميع المراحل التعليمية,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,جميع المراحل التعليمية,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,جميع المراحل التعليمية,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2016,,,جميع المراحل التعليمية,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2016,,,جميع المراحل التعليمية,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2016,,,جميع المراحل التعليمية,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,إبتدائي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,إبتدائي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,إبتدائي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,إبتدائي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,إبتدائي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,إبتدائي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,إبتدائي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,إبتدائي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,إبتدائي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,إعدادي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,إعدادي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,إعدادي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,إعدادي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,إعدادي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,إعدادي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,إعدادي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,إعدادي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,إعدادي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,ثانوي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,ثانوي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,ثانوي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,ثانوي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,ثانوي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,ثانوي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,ثانوي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,ثانوي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,ثانوي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,جامعي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,جامعي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,جامعي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,جامعي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,جامعي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,جامعي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,جامعي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,جامعي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,جامعي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,جميع المراحل التعليمية,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,جميع المراحل التعليمية,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,جميع المراحل التعليمية,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,جميع المراحل التعليمية,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,جميع المراحل التعليمية,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,جميع المراحل التعليمية,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2017,,,جميع المراحل التعليمية,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2017,,,جميع المراحل التعليمية,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2017,,,جميع المراحل التعليمية,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,إبتدائي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,إبتدائي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,إبتدائي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,إبتدائي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,إبتدائي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,إبتدائي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,إبتدائي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,إبتدائي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,إبتدائي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,إعدادي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,إعدادي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,إعدادي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,إعدادي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,إعدادي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,إعدادي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,إعدادي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,إعدادي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,إعدادي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,ثانوي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,ثانوي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,ثانوي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,ثانوي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,ثانوي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,ثانوي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,ثانوي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,ثانوي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,ثانوي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,جامعي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,جامعي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,جامعي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,جامعي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,جامعي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,جامعي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,جامعي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,جامعي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,جامعي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,جميع المراحل التعليمية,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,جميع المراحل التعليمية,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,جميع المراحل التعليمية,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,جميع المراحل التعليمية,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,جميع المراحل التعليمية,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,جميع المراحل التعليمية,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2018,,,جميع المراحل التعليمية,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2018,,,جميع المراحل التعليمية,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2018,,,جميع المراحل التعليمية,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2019,,,إبتدائي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2019,,,إبتدائي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2019,,,إبتدائي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2019,,,إبتدائي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2019,,,إبتدائي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2019,,,إبتدائي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2019,,,إبتدائي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2019,,,إبتدائي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2019,,,إبتدائي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2019,,,إعدادي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2019,,,إعدادي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2019,,,إعدادي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2019,,,إعدادي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2019,,,إعدادي,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2019,,,إعدادي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2019,,,إعدادي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2019,,,إعدادي,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2019,,,إعدادي,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2019,,,ثانوي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2019,,,ثانوي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2019,,,ثانوي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2019,,,ثانوي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2019,,,ثانوي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2019,,,ثانوي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2019,,,ثانوي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2019,,,ثانوي\مهني,جميع القطاعات
غير مواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2019,,,ثانوي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2019,,,جامعي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2019,,,جامعي\مهني,جميع القطاعات
مجموع المواطنين وغير المواطنين,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2019,,,جامعي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,ذكور,2019,,,جامعي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال, إناث,2019,,,جامعي\مهني,جميع القطاعات
مواطنون,معدل الطلاب إلى المدرسين (ات)(نسبة مئوية),الصومال,كلا الجنسين,2019,,,جامعي\مهني,جميع القطاعات
